Date,Close,High,Low,Open,Volume,Tomorrow_Close,Target,Return,MA5,MA10,MA20,MA5_above_MA20,Volume_Change,Price_vs_MA20,RSI,Volatility,HL_Range
2020-01-30,78.07009887695312,78.12313101118072,76.8359045055242,77.26739289963146,126743200,74.60856628417969,0,-0.14491121577679955,76.80746459960938,76.6703010559082,75.21759033203125,1,-41.38478984336991,3.7923423661009523,63.87915626309123,2.272436042622566,1.6488086017225714
2020-01-31,74.60856628417969,77.78324080814086,74.31448034488959,77.36139664518089,199588400,74.40367889404297,0,-4.433877556923793,76.38320770263672,76.5321762084961,75.3279930114746,1,57.47464163757898,-0.9550589343132068,49.36887099359638,3.136983037087051,4.649279078811091
2020-02-03,74.40367889404297,75.56796570063159,72.85129158100523,73.35268032975995,173788400,76.8600082397461,1,-0.27461644197305235,76.36922912597656,76.28943557739258,75.46334457397461,1,-12.926602948868771,-1.4042124503147086,42.9875532874713,2.834578236860812,3.6512631633378394
2020-02-04,76.8600082397461,77.05044280806926,75.60170706629567,76.00667569866678,136616400,77.48675537109375,1,3.301354694034875,76.4251495361328,76.34439620971679,75.6929485321045,1,-21.389229660897968,1.5418341209770692,54.739637808959614,2.957092588742269,1.8849018819443923
2020-02-05,77.48675537109375,78.28464294726993,76.88412080562057,77.98573120045752,118826800,78.39311981201172,1,0.8154398440768817,76.28582153320312,76.4347930908203,75.97088279724122,1,-13.021569884728335,1.9953336305150589,57.61868349462137,2.7933425111245125,1.807434231749782
2020-02-06,78.39311981201172,78.39553270453209,77.19990767879175,77.75674147890366,105425600,77.32755279541016,0,1.1697024047235827,76.35042572021484,76.57894515991211,76.236283493042,1,-11.277927201607717,2.829146726658804,57.52907602070815,2.8548185393341767,1.525165765321592
2020-02-07,77.32755279541016,78.14183107037995,76.8370524098855,77.89295663582978,117684000,77.69481658935547,1,-1.3592608881453083,76.89422302246093,76.63871536254882,76.37078590393067,1,11.627536385849346,1.252791732015221,51.533779060202356,1.7454775146040211,1.687339910971417
2020-02-10,77.69481658935547,77.69481658935547,75.83430131081457,75.914034625019,109348800,77.2260513305664,0,0.47494557976897056,77.55245056152344,76.96083984375,76.5152156829834,1,-7.082696033445501,1.5416553372330237,54.317920065485765,1.6680386317454095,2.394645306101155
2020-02-11,77.2260513305664,78.26262851927434,77.00858949259958,78.19014369789785,94323200,79.05999755859375,1,-0.6033417406294372,77.6256591796875,77.02540435791016,76.55629806518554,1,-13.740982982895101,0.8748506423476564,51.982030691691435,1.0512887652651293,1.6238549104457534
2020-02-12,79.05999755859375,79.06482742202022,77.67547849475221,77.67547849475221,113730400,78.49700164794922,0,2.3747766413397597,77.9403076171875,77.11306457519531,76.74066314697265,1,20.575213733206677,3.0223017582987817,55.95843549671022,1.4661897206810002,1.7573348977633276
2020-02-13,78.49700164794922,78.82319807398167,78.12973294999506,78.33269781258844,94747600,78.51634216308594,1,-0.7121122287251258,77.961083984375,77.15575485229492,76.91302795410157,1,-16.691051820797252,2.059434839560473,54.89955265542623,1.4643878523856617,0.8834288054679219
2020-02-14,78.51634216308594,78.7652165546687,78.00892627887556,78.4655954129786,80113600,77.07865905761719,0,0.024638539983290464,78.19884185791015,77.54653244018554,77.03935432434082,1,-15.44524610649769,1.917186159851366,62.79612040611903,1.2500831435216746,0.9632265780062028
2020-02-18,77.07865905761719,77.25987847546425,76.01791785904396,76.19913727689102,152531200,78.19499969482422,1,-1.8310622551449773,78.0756103515625,77.81403045654297,77.05173301696777,1,90.39364102973776,0.03494540563219338,51.64682202460234,1.5614459024142182,1.611289858444354
2020-02-19,78.19499969482422,78.42454732896218,77.32031481331299,77.32031481331299,93984000,77.39277648925781,0,1.4483135161608818,78.26940002441407,77.94752960205078,77.14596290588379,1,-38.383753618931735,1.3598077584697805,50.03962933414902,1.6775952777908554,1.4121523370531799
2020-02-20,77.39277648925781,78.44385067885128,76.88777921917897,77.95576899229526,100566000,75.64099884033203,0,-1.0259264770091203,77.93595581054687,77.9381317138672,77.18646240234375,1,7.003319713993861,0.26729309841747306,47.79085785723813,1.238130546158929,2.0106158872440694
2020-02-21,75.64099884033203,77.42903672549149,75.02485563249914,76.98685711850104,129554000,72.04802703857422,0,-2.26348986092898,77.36475524902343,77.66291961669921,77.12093238830566,1,28.824851341407644,-1.9189777692548253,53.790069744475645,1.4971664570268517,3.1784100287560304
2020-02-24,72.04802703857422,73.49778279969091,69.88547911921196,71.8257352845529,222195200,69.60759735107422,0,-4.750032200582243,76.07109222412109,77.13496704101563,76.88684120178223,0,71.50778825817805,-6.293423019563262,43.07499975328734,2.236204206931642,5.0137440662253425
2020-02-25,69.60759735107422,73.09909512359589,69.13643119372864,72.71732938397975,230673600,70.71179962158203,1,-3.3872262542226195,74.5768798828125,76.3262451171875,76.64354248046875,0,3.8157439944697336,-9.180088630672989,28.659860005477654,2.3662254953044712,5.692861240248071
2020-02-26,70.71179962158203,71.97550540185524,69.22580220093633,69.23305068108249,198054800,66.08953094482422,0,1.586324356145541,73.08023986816406,75.67481994628906,76.35011215209961,0,-14.140673228319145,-7.384812374977669,30.609600530349454,2.416709783492412,3.8886058842146554
2020-02-27,66.08953094482422,69.10502562675568,65.9542209950426,67.92105987924694,320605600,66.05084991455078,0,-6.536771375490558,70.81959075927735,74.37777328491211,75.74541893005372,0,61.877217820522404,-12.747817784394488,20.962618956217483,3.0525996826301744,4.767479185687618
2020-02-28,66.05084991455078,67.27106508637516,61.94562839291094,62.160678974985316,426510000,72.20024108886719,1,-0.05852822636270849,68.9015609741211,73.13315811157227,75.14445648193359,0,33.0326107840911,-12.101500221202762,22.03044659394625,3.3436748508855882,8.06263159422426
2020-03-02,72.20024108886719,72.83571844288954,67.10435128397388,68.20616489725688,341397200,69.90721130371094,0,9.31008636871713,68.93200378417968,72.5015480041504,75.02404022216797,0,-19.95563996154838,-3.7638590576283173,39.409483312603804,5.9840037456372475,7.938155153611253
2020-03-03,69.90721130371094,73.45427795635602,69.05668336601278,73.37454464911569,319475600,73.14983367919922,1,-3.1759309256791712,68.99192657470704,71.78440322875977,74.79921684265136,0,-6.421142294078564,-6.540182832704403,36.820158873350586,5.953156093073225,6.29061653058646
2020-03-04,73.14983367919922,73.30930768219956,70.82781196815235,71.62759322830975,219178400,70.77706909179688,0,4.63846621116204,69.47953338623047,71.27988662719727,74.61370811462402,0,-31.39432244590823,-1.961937655177179,39.87082261017514,6.275396718388789,3.3923463516402332
2020-03-05,70.77706909179688,72.37904277817594,70.41221158595323,71.40529059680607,187572800,69.83712005615234,0,-3.243704692218674,70.417041015625,70.61831588745117,74.27822380065918,0,-14.420034090950573,-4.71356816266685,37.54195600747482,5.423175230921015,2.778910199957221
2020-03-06,69.83712005615234,70.26963239805877,67.95244135070753,68.1384906030925,226176800,64.31356811523438,0,-1.3280417622626217,71.1742950439453,70.03792800903321,73.85042381286621,0,20.58080915783098,-5.434367941995033,36.39805201870502,5.542444375767056,3.317993418812392
2020-03-09,64.31356811523438,67.19374467213605,63.54761077884886,63.72883020122201,286744800,68.94554138183594,1,-7.909192040675173,69.59696044921876,69.26448211669921,73.19972457885743,0,26.779050724919617,-12.139603686691572,32.265881303489195,4.532148992682795,5.669307426318182
2020-03-10,68.94554138183594,69.21133137729244,65.08677501833562,66.96421319736713,285290000,66.55103302001953,0,7.202171178408556,69.40462646484374,69.19827651977539,72.76226081848145,0,-0.5073500896964789,-5.245465703940957,38.29355465479773,6.085747184260582,5.9823395049059105
2020-03-11,66.55103302001953,67.95004932218703,65.68842661681832,67.02462518678024,255598800,59.978790283203125,0,-3.473043091438033,68.08486633300781,68.78219985961914,72.2285099029541,0,-10.407374951803428,-7.86043750668926,36.80992824514235,5.55551740846054,3.3983284747636886
2020-03-12,59.978790283203125,65.23898664623883,59.92321736395271,61.84172741301199,418474000,67.16474914550781,1,-9.87549319458254,65.92521057128906,68.17112579345704,71.27444953918457,0,63.72299087476154,-15.848118546003546,32.94567660706129,6.679196328990293,8.86274841020724
2020-03-13,67.16474914550781,67.63592258199654,61.11926832671573,64.00428573904365,370732000,58.52421951293945,0,11.980833271852598,65.39073638916015,68.28251571655274,70.7078369140625,0,-11.408594082308577,-5.010884115803052,45.06854910971911,9.5746207839508,9.702491765677442
